area_name,median_rent,median_home_value,median_income,zip,is_texas_zip,rent_affordability_score,home_affordability_score,income_score,starter_score
ZCTA5 79359,661,89000,53048,79359,TRUE,8.773555762,9.696116039,1.623619375,6.905342929
ZCTA5 79343,681,119800,58906,79343,TRUE,8.711770158,9.511508032,1.872759209,6.899988235
ZCTA5 75931,729,233800,79514,75931,TRUE,8.563484708,8.828218653,2.749214261,6.898623757
ZCTA5 75851,900,164400,85982,75851,TRUE,8.035217794,9.244186047,3.024297301,6.894632122
ZCTA5 76351,531,138900,46484,76351,TRUE,9.175162187,9.397027092,1.34445347,6.892509043
ZCTA5 79087,820,102600,69135,79087,TRUE,8.28236021,9.614600815,2.307796997,6.889663428
ZCTA5 76380,581,103100,45880,76380,TRUE,9.020698177,9.611603932,1.318765444,6.887390084
ZCTA5 79095,715,103600,58889,79095,TRUE,8.606734631,9.608607049,1.872036201,6.886886827
ZCTA5 76627,800,126900,70375,76627,TRUE,8.344145814,9.46895229,2.360534005,6.886504214
ZCTA5 78383,969,237200,102135,78383,TRUE,7.822057461,8.807839847,3.711281892,6.884559506
ZCTA5 79521,760,117400,64294,79521,TRUE,8.467717022,9.525893071,2.101910015,6.875427735
ZCTA5 75925,742,105200,60811,75925,TRUE,8.523324065,9.599017022,1.953778564,6.875168302
ZCTA5 75573,971,159500,90349,75573,TRUE,7.8158789,9.273555502,3.210025135,6.871425751
ZCTA5 77660,643,181900,61500,77660,TRUE,8.829162805,9.139295133,1.983081628,6.86837815
ZCTA5 78538,556,92100,40399,78538,TRUE,9.097930182,9.677535363,1.085659361,6.86813049
ZCTA5 79018,913,106300,76667,79018,TRUE,7.995057152,9.592423879,2.628131791,6.864189562
ZCTA5 75567,776,150000,69350,75567,TRUE,8.418288539,9.330496284,2.316940913,6.861546575
ZCTA5 79311,868,176800,81985,79311,TRUE,8.134074761,9.169863342,2.854305509,6.86088056
ZCTA5 79567,702,71700,50781,79567,TRUE,8.646895273,9.799808199,1.527204216,6.856861834
ZCTA5 78014,821,100000,66250,78014,TRUE,8.27927093,9.630184608,2.185098393,6.856293272
ZCTA5 78839,519,103700,37365,78839,TRUE,9.21223355,9.608007672,0.956623811,6.854282865
ZCTA5 75691,960,170500,89353,75691,TRUE,7.849860982,9.207624071,3.167665409,6.852531237
ZCTA5 75974,642,91300,47292,75974,TRUE,8.832252085,9.682330376,1.378817585,6.851245223
ZCTA5 75631,938,146800,83750,75631,TRUE,7.917825147,9.349676337,2.929370686,6.850844165
ZCTA5 79520,853,74700,65331,79520,TRUE,8.180413964,9.7818269,2.146013465,6.850517695
ZCTA5 79357,775,76400,57993,79357,TRUE,8.421377819,9.771637497,1.83392946,6.850221215
ZCTA5 75941,747,109900,59593,75941,TRUE,8.507877665,9.57084632,1.901977213,6.844998126
ZCTA5 79040,939,156400,84583,79040,TRUE,7.914735867,9.292136178,2.964798047,6.842974614
ZCTA5 75603,697,185800,65212,75603,TRUE,8.662341674,9.115919444,2.140952413,6.841998227
ZCTA5 78881,556,69800,35104,78881,TRUE,9.097930182,9.811196356,0.86046383,6.840670129
ZCTA5 75555,740,112100,58750,75555,TRUE,8.529502626,9.557660034,1.866124553,6.838936426
ZCTA5 79355,883,143300,76967,79355,TRUE,8.087735558,9.370654519,2.640890745,6.838557802
ZCTA5 77979,865,156200,77039,77979,TRUE,8.143342601,9.293334932,2.643952894,6.838523388
ZCTA5 79838,606,95800,43367,79838,TRUE,8.943466172,9.655358427,1.211887942,6.83756038
ZCTA5 75755,897,109500,73402,75755,TRUE,8.044485635,9.573243826,2.489271847,6.836548956
ZCTA5 76861,866,218200,85714,76861,TRUE,8.140253321,8.92172141,3.012899302,6.836487542
ZCTA5 75117,875,250000,90954,75117,TRUE,8.112449799,8.731119636,3.235755692,6.835042518
ZCTA5 75473,1031,234200,103793,75473,TRUE,7.630522088,8.825821146,3.781796376,6.834494092
ZCTA5 75926,791,130400,65833,75926,TRUE,8.371949336,9.447974107,2.167363447,6.833381001
ZCTA5 79323,924,193300,87321,79323,TRUE,7.96107507,9.070966195,3.081244764,6.830093315
ZCTA5 75683,813,113300,65240,75683,TRUE,8.303985171,9.550467514,2.142143249,6.829377297
ZCTA5 77624,1052,167900,96058,77624,TRUE,7.565647204,9.223207864,3.452828022,6.829069647
ZCTA5 75708,962,157400,85441,75708,TRUE,7.843682422,9.286142412,3.001288654,6.823702289
ZCTA5 75435,629,135800,50000,75435,TRUE,8.872412728,9.415607768,1.493988406,6.821843943
ZCTA5 79329,684,220200,67059,79329,TRUE,8.702502317,8.909733877,2.219505038,6.819772601
ZCTA5 79054,892,45000,62500,79054,TRUE,8.059932036,9.959841765,2.025611473,6.819608786
ZCTA5 75845,663,104600,48333,75845,TRUE,8.767377201,9.602613282,1.423091154,6.814662211
ZCTA5 75102,1056,123500,88929,75102,TRUE,7.553290083,9.489331096,3.149632755,6.813005188
ZCTA5 76527,658,345400,81574,76527,TRUE,8.782823602,8.159314313,2.836825742,6.811971458
ZCTA5 76853,700,245500,71500,76853,TRUE,8.653073834,8.758091585,2.408380081,6.811171033
ZCTA5 79510,900,161000,78686,79510,TRUE,8.035217794,9.264564853,2.713999549,6.807656438
ZCTA5 77853,755,128700,60069,77853,TRUE,8.483163423,9.45816351,1.922221419,6.807380848
ZCTA5 77612,816,118000,64415,77612,TRUE,8.294717331,9.522296811,2.107056127,6.806692814
ZCTA5 79511,1152,264400,117578,79511,TRUE,7.256719184,8.644809398,4.368070293,6.806551581
ZCTA5 76844,702,223800,68032,76844,TRUE,8.646895273,8.888156317,2.260886577,6.803470978
ZCTA5 76043,770,250500,78306,76043,TRUE,8.43682422,8.728122752,2.697838208,6.802517976
ZCTA5 78355,712,82400,48828,78355,TRUE,8.616002471,9.735674898,1.444143428,6.800346486
ZCTA5 75954,779,91700,56600,75954,TRUE,8.409020698,9.67993287,1.774685385,6.799993756
ZCTA5 76636,743,204800,69018,76636,TRUE,8.520234785,9.002037881,2.302821005,6.79955158
ZCTA5 79501,771,89200,55430,79501,TRUE,8.43373494,9.694917286,1.724925466,6.799446802
ZCTA5 79506,827,113800,63942,79506,TRUE,8.260735249,9.547470631,2.08693951,6.794617142
ZCTA5 75975,649,96900,44297,75975,TRUE,8.810627124,9.648765284,1.251440699,6.794312644
ZCTA5 75421,880,158600,75197,75421,TRUE,8.097003398,9.278949892,2.565612919,6.792170203
ZCTA5 76622,817,195700,74167,76622,TRUE,8.291628051,9.056581156,2.521807178,6.79016772
ZCTA5 76569,830,125500,65491,76569,TRUE,8.251467408,9.477343563,2.15281824,6.789635504
ZCTA5 76389,1025,229200,98750,76389,TRUE,7.64905777,8.855789978,3.567318366,6.786555611
ZCTA5 79346,691,48100,40833,79346,TRUE,8.680877356,9.941261088,1.104117314,6.785964463
ZCTA5 76471,700,141700,54773,76471,TRUE,8.653073834,9.380244546,1.696983358,6.784397905
ZCTA5 75956,756,156300,62196,75956,TRUE,8.480074143,9.292735555,2.0126824,6.783655044
ZCTA5 75972,659,96300,44196,75972,TRUE,8.779734322,9.652361544,1.247145184,6.781745747
ZCTA5 75570,805,162600,67622,75570,TRUE,8.328699413,9.254974826,2.243449341,6.781007015
ZCTA5 78827,456,87600,23167,78827,TRUE,9.406858202,9.704507312,0.352785067,6.779930995
ZCTA5 76859,673,110900,47443,76859,TRUE,8.736484399,9.564852553,1.385239592,6.779621403
ZCTA5 76475,655,201100,58333,76475,TRUE,8.792091443,9.024214817,1.848389607,6.778617904
ZCTA5 78938,688,201400,61250,78938,TRUE,8.690145196,9.022416687,1.972449166,6.774517834
ZCTA5 79070,891,131500,70915,79070,TRUE,8.063021316,9.441380964,2.383500121,6.772672852
ZCTA5 79226,800,102700,58031,79226,TRUE,8.344145814,9.614001439,1.835545594,6.772522435
ZCTA5 79360,854,219200,79467,79360,TRUE,8.177324683,8.915727643,2.747215358,6.769812774
ZCTA5 78076,613,100000,39239,78076,TRUE,8.921841211,9.630184608,1.036324741,6.768689289
ZCTA5 79370,765,63100,48750,79370,TRUE,8.452270621,9.851354591,1.4408261,6.768562456
ZCTA5 77859,665,160000,52639,77859,TRUE,8.761198641,9.270558619,1.606224668,6.767514442
ZCTA5 75412,863,109200,64605,75412,TRUE,8.149521162,9.575041956,2.115136797,6.766862091
ZCTA5 75980,687,94500,45439,75980,TRUE,8.693234476,9.663150324,1.300009782,6.766241822
ZCTA5 79059,841,142500,66875,79059,TRUE,8.217485326,9.375449532,2.211679546,6.763132854
ZCTA5 76849,734,188900,62977,76849,TRUE,8.548038307,9.097338768,2.045898209,6.762186416
ZCTA5 75161,862,264500,85981,75161,TRUE,8.152610442,8.644210022,3.024254771,6.761583614
ZCTA5 76661,687,66700,41056,76661,TRUE,8.693234476,9.829777032,1.11360147,6.760307341
ZCTA5 78884,813,286900,84271,78884,TRUE,8.303985171,8.509949652,2.951528735,6.760037585
ZCTA5 76686,894,169100,75469,76686,TRUE,8.053753475,9.216015344,2.577181037,6.759460304
ZCTA5 76834,708,89900,46120,76834,TRUE,8.628359592,9.690721649,1.328972607,6.757252114
ZCTA5 77662,897,146200,72243,77662,TRUE,8.044485635,9.353272596,2.439979756,6.75576996
ZCTA5 75127,673,216800,60366,75127,TRUE,8.736484399,8.930112683,1.934852783,6.754083399
ZCTA5 75155,898,111800,67336,75155,TRUE,8.041396355,9.559458164,2.231285805,6.753781732
ZCTA5 75477,985,216300,90469,75477,TRUE,7.772628977,8.933109566,3.215128717,6.753523076
ZCTA5 75633,814,161100,66102,75633,TRUE,8.300895891,9.263965476,2.178803976,6.753189192
ZCTA5 76367,946,143500,76310,76367,TRUE,7.893110905,9.369455766,2.612948637,6.751965683
ZCTA5 77465,780,177200,64666,77465,TRUE,8.405931418,9.167465836,2.117731118,6.747931653
ZCTA5 79735,937,174500,78935,79735,TRUE,7.920914427,9.183649005,2.724589481,6.740837316
ZCTA5 79057,975,91300,70865,79057,TRUE,7.803521779,9.682330376,2.381373629,6.740519913
ZCTA5 76624,925,188300,79625,76624,TRUE,7.957985789,9.100935028,2.753935074,6.739655346
ZCTA5 79313,920,74300,62788,79313,TRUE,7.97343219,9.784224407,2.037860068,6.735998219
ZCTA5 78377,755,97000,49974,78377,TRUE,8.483163423,9.648165907,1.49288263,6.735579931
ZCTA5 78576,697,131400,49137,78576,TRUE,8.662341674,9.44198034,1.45728515,6.734716317
ZCTA5 76511,774,222900,69286,76511,TRUE,8.424467099,8.893550707,2.314219003,6.732117753
ZCTA5 76638,1083,440900,129917,76638,TRUE,7.469879518,7.586909614,4.892846055,6.731878508
ZCTA5 79080,894,41700,55313,79080,TRUE,8.053753475,9.979621194,1.719949475,6.731372591
ZCTA5 76305,921,184700,78071,76305,TRUE,7.97034291,9.122512587,2.687843694,6.731244048
ZCTA5 79358,1000,217600,90333,79358,TRUE,7.726289774,8.92531767,3.209344658,6.730914608
ZCTA5 75437,953,231600,87574,75437,TRUE,7.871485944,8.841404939,3.092004814,6.728617303
ZCTA5 78384,764,78100,47603,78384,TRUE,8.455359901,9.761448094,1.392044367,6.728191699
ZCTA5 76538,867,122500,63750,76538,TRUE,8.137164041,9.495324862,2.078773779,6.727095209
ZCTA5 79068,1038,165300,86264,79068,TRUE,7.608897127,9.238791657,3.036290717,6.726083563
ZCTA5 79544,700,82500,41750,79544,TRUE,8.653073834,9.735075521,1.143117182,6.724687345
ZCTA5 79331,799,101800,54000,79331,TRUE,8.347235094,9.619395828,1.664107788,6.723945122
ZCTA5 75568,711,123600,48417,75568,TRUE,8.619091752,9.488731719,1.426663661,6.722255315
ZCTA5 78580,844,71700,53841,78580,TRUE,8.208217485,9.799808199,1.657345542,6.720433117
ZCTA5 76640,838,166900,66641,76640,TRUE,8.226753167,9.22920163,2.201727562,6.719980024
ZCTA5 76239,849,228200,76250,76239,TRUE,8.192771084,8.861783745,2.610396846,6.718762611
ZCTA5 79373,967,137100,74728,79373,TRUE,7.828236021,9.407815871,2.545666421,6.717339096
ZCTA5 79347,932,105700,66792,79347,TRUE,7.936360828,9.596020139,2.208149569,6.715795244
ZCTA5 75938,827,97300,55379,75938,TRUE,8.260735249,9.646367778,1.722756444,6.715031366
ZCTA5 76932,746,171500,57813,76932,TRUE,8.510966945,9.201630304,1.826274088,6.712758096
ZCTA5 75453,1149,275700,111406,75453,TRUE,7.265987025,8.577079837,4.105576088,6.711191588
ZCTA5 79508,1179,210000,105000,79508,TRUE,7.173308619,8.970870295,3.833129899,6.710523506
